,date,Region,Department,market,latitude,longitude,Categorie_product,Product,price_per_kg,mois,annee
0,2005-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),147.78,1,2005
1,2005-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),147.78,1,2005
2,2005-01-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),183.64,1,2005
3,2005-01-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),183.64,1,2005
4,2005-01-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),127.53,1,2005
5,2005-01-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),127.53,1,2005
6,2005-01-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),136.35,1,2005
7,2005-01-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),136.35,1,2005
8,2005-01-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),253.23,1,2005
9,2005-01-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),253.23,1,2005
10,2005-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),154.11,2,2005
11,2005-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),154.11,2,2005
12,2005-02-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),197.12,2,2005
13,2005-02-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),197.12,2,2005
14,2005-02-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),166.67,2,2005
15,2005-02-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),166.67,2,2005
16,2005-02-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),135.82,2,2005
17,2005-02-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),135.82,2,2005
18,2005-02-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),254.0,2,2005
19,2005-02-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),254.0,2,2005
20,2005-03-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),158.42,3,2005
21,2005-03-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),158.42,3,2005
22,2005-03-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),193.05,3,2005
23,2005-03-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),193.05,3,2005
24,2005-03-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),196.43,3,2005
25,2005-03-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),196.43,3,2005
26,2005-03-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),134.49,3,2005
27,2005-03-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),134.49,3,2005
28,2005-03-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),237.3,3,2005
29,2005-03-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),237.3,3,2005
30,2005-04-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),165.11,4,2005
31,2005-04-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),165.11,4,2005
32,2005-04-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),189.23,4,2005
33,2005-04-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),189.23,4,2005
34,2005-04-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),205.04,4,2005
35,2005-04-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),205.04,4,2005
36,2005-04-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),138.78,4,2005
37,2005-04-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),138.78,4,2005
38,2005-04-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),224.63,4,2005
39,2005-04-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),224.63,4,2005
40,2005-05-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),170.88,5,2005
41,2005-05-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),170.88,5,2005
42,2005-05-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),193.47,5,2005
43,2005-05-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),193.47,5,2005
44,2005-05-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),235.29,5,2005
45,2005-05-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),235.29,5,2005
46,2005-05-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),171.36,5,2005
47,2005-05-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),171.36,5,2005
48,2005-05-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),224.09,5,2005
49,2005-05-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),224.09,5,2005
50,2005-06-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),179.96,6,2005
51,2005-06-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),179.96,6,2005
52,2005-06-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),230.36,6,2005
53,2005-06-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),230.36,6,2005
54,2005-06-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),228.57,6,2005
55,2005-06-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),228.57,6,2005
56,2005-06-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),174.25,6,2005
57,2005-06-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),174.25,6,2005
58,2005-06-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),224.72,6,2005
59,2005-06-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),224.72,6,2005
60,2005-07-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),184.01,7,2005
61,2005-07-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),184.01,7,2005
62,2005-07-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),248.85,7,2005
63,2005-07-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),248.85,7,2005
64,2005-07-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),230.5,7,2005
65,2005-07-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),230.5,7,2005
66,2005-07-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),203.17,7,2005
67,2005-07-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),203.17,7,2005
68,2005-07-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),168.21,7,2005
69,2005-07-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),168.21,7,2005
70,2005-08-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),193.8,8,2005
71,2005-08-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),193.8,8,2005
72,2005-08-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),246.18,8,2005
73,2005-08-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),246.18,8,2005
74,2005-08-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),242.35,8,2005
75,2005-08-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),242.35,8,2005
76,2005-08-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),215.01,8,2005
77,2005-08-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),215.01,8,2005
78,2005-08-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),169.33,8,2005
79,2005-08-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),169.33,8,2005
80,2005-09-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),201.84,9,2005
81,2005-09-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),201.84,9,2005
82,2005-09-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),257.29,9,2005
83,2005-09-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),257.29,9,2005
84,2005-09-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),233.45,9,2005
85,2005-09-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),233.45,9,2005
86,2005-09-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),171.93,9,2005
87,2005-09-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),171.93,9,2005
88,2005-09-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),189.76,9,2005
89,2005-09-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),189.76,9,2005
90,2005-10-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),207.18,10,2005
91,2005-10-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),207.18,10,2005
92,2005-10-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),244.14,10,2005
93,2005-10-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),244.14,10,2005
94,2005-10-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),231.49,10,2005
95,2005-10-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),231.49,10,2005
96,2005-10-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),269.66,10,2005
97,2005-10-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),269.66,10,2005
98,2005-10-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),210.7,10,2005
99,2005-10-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),210.7,10,2005
100,2005-11-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),206.16,11,2005
101,2005-11-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),206.16,11,2005
102,2005-11-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),334.82,11,2005
103,2005-11-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),334.82,11,2005
104,2005-11-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),231.49,11,2005
105,2005-11-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),231.49,11,2005
106,2005-11-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),225.44,11,2005
107,2005-11-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),225.44,11,2005
108,2005-11-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),210.79,11,2005
109,2005-11-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),210.79,11,2005
110,2005-12-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),206.16,12,2005
111,2005-12-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),206.16,12,2005
112,2005-12-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),334.82,12,2005
113,2005-12-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),334.82,12,2005
114,2005-12-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),135.04,12,2005
115,2005-12-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),135.04,12,2005
116,2005-12-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),267.08,12,2005
117,2005-12-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),267.08,12,2005
118,2005-12-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),220.12,12,2005
119,2005-12-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),220.12,12,2005
120,2006-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),210.38,1,2006
121,2006-01-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),210.38,1,2006
122,2006-01-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),334.82,1,2006
123,2006-01-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),334.82,1,2006
124,2006-01-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),135.04,1,2006
125,2006-01-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),135.04,1,2006
126,2006-01-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),252.63,1,2006
127,2006-01-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),252.63,1,2006
128,2006-01-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),238.88,1,2006
129,2006-01-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),238.88,1,2006
130,2006-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),210.97,2,2006
131,2006-02-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),210.97,2,2006
132,2006-02-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),334.82,2,2006
133,2006-02-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),334.82,2,2006
134,2006-02-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),193.05,2,2006
135,2006-02-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),193.05,2,2006
136,2006-02-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),291.73,2,2006
137,2006-02-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),291.73,2,2006
138,2006-02-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),239.42,2,2006
139,2006-02-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),239.42,2,2006
140,2006-03-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),212.11,3,2006
141,2006-03-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),212.11,3,2006
142,2006-03-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),316.82,3,2006
143,2006-03-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),316.82,3,2006
144,2006-03-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),193.05,3,2006
145,2006-03-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),193.05,3,2006
146,2006-03-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),282.43,3,2006
147,2006-03-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),282.43,3,2006
148,2006-03-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),230.03,3,2006
149,2006-03-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),230.03,3,2006
150,2006-04-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),217.02,4,2006
151,2006-04-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),217.02,4,2006
152,2006-04-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),316.09,4,2006
153,2006-04-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),316.09,4,2006
154,2006-04-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),155.82,4,2006
155,2006-04-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),155.82,4,2006
156,2006-04-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),279.52,4,2006
157,2006-04-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),279.52,4,2006
158,2006-04-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),226.39,4,2006
159,2006-04-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),226.39,4,2006
160,2006-05-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),222.72,5,2006
161,2006-05-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),222.72,5,2006
162,2006-05-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),329.57,5,2006
163,2006-05-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),329.57,5,2006
164,2006-05-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),175.44,5,2006
165,2006-05-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),175.44,5,2006
166,2006-05-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),294.71,5,2006
167,2006-05-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),294.71,5,2006
168,2006-05-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),227.38,5,2006
169,2006-05-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),227.38,5,2006
170,2006-06-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),225.62,6,2006
171,2006-06-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),225.62,6,2006
172,2006-06-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),345.62,6,2006
173,2006-06-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),345.62,6,2006
174,2006-06-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),175.44,6,2006
175,2006-06-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),175.44,6,2006
176,2006-06-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),316.74,6,2006
177,2006-06-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),316.74,6,2006
178,2006-06-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),227.38,6,2006
179,2006-06-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),227.38,6,2006
180,2006-07-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),225.37,7,2006
181,2006-07-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),225.37,7,2006
182,2006-07-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),348.19,7,2006
183,2006-07-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),348.19,7,2006
184,2006-07-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),158.03,7,2006
185,2006-07-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),158.03,7,2006
186,2006-07-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),232.11,7,2006
187,2006-07-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),232.11,7,2006
188,2006-07-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),219.9,7,2006
189,2006-07-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),219.9,7,2006
190,2006-08-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),196.79,8,2006
191,2006-08-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),196.79,8,2006
192,2006-08-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),201.61,8,2006
193,2006-08-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),201.61,8,2006
194,2006-08-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),256.15,8,2006
195,2006-08-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),256.15,8,2006
196,2006-08-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),231.88,8,2006
197,2006-08-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),231.88,8,2006
198,2006-08-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),241.4,8,2006
199,2006-08-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),241.4,8,2006
200,2006-09-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),192.25,9,2006
201,2006-09-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),192.25,9,2006
202,2006-09-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),191.49,9,2006
203,2006-09-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),191.49,9,2006
204,2006-09-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),206.19,9,2006
205,2006-09-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),206.19,9,2006
206,2006-09-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),170.02,9,2006
207,2006-09-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),170.02,9,2006
208,2006-09-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),181.41,9,2006
209,2006-09-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),181.41,9,2006
210,2006-10-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),187.34,10,2006
211,2006-10-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),187.34,10,2006
212,2006-10-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),227.71,10,2006
213,2006-10-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),227.71,10,2006
214,2006-10-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),122.81,10,2006
215,2006-10-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),122.81,10,2006
216,2006-10-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),193.72,10,2006
217,2006-10-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),193.72,10,2006
218,2006-10-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),185.19,10,2006
219,2006-10-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),185.19,10,2006
220,2006-11-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),186.35,11,2006
221,2006-11-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),186.35,11,2006
222,2006-11-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (white),196.39,11,2006
223,2006-11-15,Littoral,Wouri,Douala-Congo,4.04,9.7,cereals and tubers,Maize (yellow),196.39,11,2006
224,2006-11-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (white),124.46,11,2006
225,2006-11-15,Nord,Bénoué,Garoua,9.3,13.4,cereals and tubers,Maize (yellow),124.46,11,2006
226,2006-11-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (white),156.19,11,2006
227,2006-11-15,Nord-Ouest,Mezam,Bamenda,5.96,10.15,cereals and tubers,Maize (yellow),156.19,11,2006
228,2006-11-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (white),158.79,11,2006
229,2006-11-15,Ouest,Mifi,Bafoussam,5.48,10.42,cereals and tubers,Maize (yellow),158.79,11,2006
230,2006-12-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (white),188.52,12,2006
231,2006-12-15,Centre,Mfoundi,Yaoundé-Mfoundi,3.86,11.52,cereals and tubers,Maize (yellow),188.52,12,2006
